"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN compact  CAN-1","424","20:55:08.625","      ","66F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","425","20:55:08.834","      ","66F","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","426","20:55:08.835","      ","670","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","427","20:55:09.044","      ","670","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","428","20:55:09.045","      ","671","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","429","20:55:09.254","      ","671","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","430","20:55:09.255","      ","672","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","431","20:55:09.464","      ","672","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","432","20:55:09.465","      ","673","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","433","20:55:09.674","      ","673","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","434","20:55:09.675","      ","674","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","435","20:55:09.885","      ","674","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","436","20:55:09.886","      ","675","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","437","20:55:10.094","      ","675","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","438","20:55:10.095","      ","676","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","439","20:55:10.304","      ","676","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","440","20:55:10.305","      ","677","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","441","20:55:10.514","      ","677","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","442","20:55:10.515","      ","678","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","443","20:55:10.724","      ","678","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","444","20:55:10.725","      ","679","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","445","20:55:10.934","      ","679","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","446","20:55:10.935","      ","67A","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","447","20:55:11.144","      ","67A","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","448","20:55:11.145","      ","67B","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","449","20:55:11.354","      ","67B","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","450","20:55:11.355","      ","67C","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","451","20:55:11.564","      ","67C","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","452","20:55:11.565","      ","67D","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","453","20:55:11.775","      ","67D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","454","20:55:11.776","      ","67E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","455","20:55:11.984","      ","67E","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","456","20:55:11.985","      ","67F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","457","20:55:12.194","      ","67F","8","80 00 00 00 00 00 04 05","........"
